FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
1992,57,3,1.9,1.5
1992,Adams,10,1.4000000000000001,0.5
1992,Benewah,23,32.8,20.0
1992,Boise,8,141.0,85.0
1992,Bonner,49,88.7,34.0
1992,Boundary,22,13.8,3.0
1992,Clearwater,118,168.5,78.0
1992,Gem,2,200.5,200.0
1992,Idaho,40,691.5,410.0
1992,Kootenai,47,122.30000000000001,75.0
1992,Latah,21,449.3,376.0
1992,Lewis,18,307.3,108.0
1992,Nez Perce,19,867.6999999999999,615.0
1992,Shoshone,24,9.8,3.0
1992,Valley,39,99.5,65.0
1993,35,2,7.1,7.0
1993,Ada,1,0.1,0.1
1993,Adams,7,1.3,0.4
1993,Benewah,10,37.3,25.0
1993,Boise,15,130.8,63.0
1993,Bonner,14,13.3,8.0
1993,Boundary,20,11.100000000000001,5.5
1993,Clearwater,38,36.3,30.0
1993,Gem,1,40.0,40.0
1993,Idaho,16,30.6,25.0
1993,Kootenai,14,6.3,3.0
1993,Latah,5,39.6,26.0
1993,Lewis,8,458.2,250.0
1993,Nez Perce,8,19.3,7.0
1993,Shoshone,8,0.8,0.1
1993,Valley,31,10.6,2.5
1994,57,6,5.1,2.5
1994,Ada,14,6481.599999999999,5111.0
1994,Adams,10,1.2,0.3
1994,Benewah,42,122.8,50.0
1994,Boise,14,7.7,3.0
1994,Bonner,83,128.9,47.0
1994,Boundary,50,170.6,96.0
1994,Clearwater,260,300.3,27.0
1994,Idaho,60,684.9,380.0
1994,Kootenai,84,124.8,50.0
1994,Latah,47,300.9,80.0
1994,Lewis,11,131.0,85.0
1994,Nez Perce,30,1468.6,386.0
1994,Shoshone,69,38.300000000000004,8.0
1994,Valley,51,1768.3000000000002,1693.0
1995,57,3,1.0,0.5
1995,Ada,9,1072.1999999999998,273.4
1995,Adams,8,0.9,0.2
1995,Benewah,11,1.8,0.5
1995,Boise,25,83.7,52.0
1995,Bonner,28,11.200000000000001,2.0
1995,Boundary,16,7.5,2.0
1995,Clearwater,42,18.3,4.0
1995,Gem,3,0.30000000000000004,0.1
1995,Idaho,14,105.0,100.0
1995,Kootenai,19,17.5,5.0
1995,Latah,11,35.6,20.0
1995,Lewis,4,11.1,5.0
1995,Nez Perce,5,95.4,65.0
1995,Shoshone,9,64.1,60.0
1995,Valley,51,20.0,4.3
1996,49,1,0.1,0.1
1996,Ada,22,25542.3,13091.4
1996,Adams,4,1.1,0.8
1996,Benewah,18,16.599999999999998,10.0
1996,Boise,7,22.5,17.0
1996,Bonner,34,54.0,40.0
1996,Boundary,15,7.1000000000000005,5.0
1996,Clearwater,62,254.9,230.0
1996,Idaho,30,571.1,180.0
1996,Kootenai,63,45.7,8.0
1996,Latah,11,22.1,13.0
1996,Lemhi,1,150.0,150.0
1996,Lewis,13,309.3,200.0
1996,Nez Perce,9,607.1,600.0
1996,Shoshone,9,8.2,5.0
1996,Valley,33,11.0,1.5
1997,19,1,0.1,0.1
1997,33,5,55.4,55.0
1997,35,1,2.0,2.0
1997,43,3,0.30000000000000004,0.1
1997,5,4,0.4,0.1
1997,57,1,3.0,3.0
1997,59,1,0.2,0.2
1997,7,4,70.3,70.0
1997,71,1,10.0,10.0
1997,79,2,0.6,0.5
1997,81,1,0.1,0.1
1997,Ada,87,527.6,356.3
1997,Adams,4,1.1,0.8
1997,Benewah,6,5.300000000000001,4.2
1997,Boise,25,7.2,4.0
1997,Bonner,26,11.6,3.0
1997,Boundary,14,2.8,1.0
1997,Clearwater,33,69.6,31.0
1997,Gem,2,40.1,40.0
1997,Idaho,22,34.3,25.0
1997,Kootenai,30,13.6,2.0
1997,Latah,15,10.8,3.0
1997,Lewis,2,11.0,10.0
1997,Nez Perce,5,508.2,500.0
1997,Shoshone,9,1.2,0.3
1997,Valley,35,45.5,30.0
1998,13,6,25.5,25.0
1998,17,31,7.1,2.4
1998,19,5,5.5,4.5
1998,21,21,3.0,0.5
1998,25,3,25.3,25.0
1998,29,1,0.3,0.3
1998,3,1,0.1,0.1
1998,31,7,16.7,15.0
1998,33,2,0.2,0.1
1998,35,121,235.6,137.0
1998,37,11,2.1,0.5
1998,39,5,330.5,330.0
1998,41,4,0.5,0.2
1998,43,5,0.8,0.3
1998,49,272,7846.400000000001,3115.0
1998,5,9,21.0,15.0
1998,55,33,6.1,2.0
1998,57,6,0.8,0.3
1998,59,2,0.2,0.1
1998,7,5,116.1,115.0
1998,71,3,400.40000000000003,400.0
1998,77,1,40.0,40.0
1998,79,103,37.6,4.5
1998,81,2,0.2,0.1
1998,83,1,0.1,0.1
1998,85,1,0.1,0.1
1998,Adams,6,0.8,0.3
1998,Benewah,22,7.5,3.0
1998,Boise,4,2.3,1.0
1998,Bonner,50,66.9,30.0
1998,Boundary,28,47.0,23.0
1998,Clearwater,76,65.3,31.0
1998,Idaho,19,147.4,140.0
1998,Kootenai,39,75.9,30.0
1998,Latah,11,89.8,66.0
1998,Lewis,11,58.2,50.0
1998,Nez Perce,9,52.1,50.0
1998,Shoshone,31,29.6,22.0
1998,Valley,30,16.6,7.0
1999,13,9,4.9,3.0
1999,15,2,2400.1,2400.0
1999,17,21,4.5,2.0
1999,19,6,1.1,0.5
1999,21,11,1.2000000000000002,0.2
1999,25,2,0.6,0.5
1999,29,3,0.30000000000000004,0.1
1999,31,18,1093.5,970.0
1999,33,5,1.9000000000000001,1.0
1999,35,98,1011.8,681.0
1999,37,6,0.6000000000000001,0.1
1999,39,6,132.6,97.0
1999,41,3,0.30000000000000004,0.1
1999,43,13,2.9,0.7
1999,49,237,4511.099999999999,1414.0
1999,5,9,23.6,10.0
1999,55,51,33.3,11.5
1999,57,10,11.700000000000001,9.0
1999,59,3,0.30000000000000004,0.1
1999,7,4,3.8,2.0
1999,71,7,53.7,25.0
1999,79,75,14.1,2.0
1999,81,1,0.1,0.1
1999,83,3,0.7,0.5
1999,Ada,48,3155.7,1284.0
1999,Adams,6,18.45,15.0
1999,Bannock,21,957.9,353.0
1999,Bear Lake,2,1687.0,1672.0
1999,Benewah,23,98.11,86.0
1999,Bingham,20,7645.9,2490.0
1999,Blaine,19,148803.7,132208.0
1999,Boise,10,38.75,30.0
1999,Bonner,81,150.4,50.0
1999,Bonneville,10,972.2,340.0
1999,Boundary,28,11.95,3.0
1999,Butte,8,49370.5,49364.0
1999,Camas,2,0.6,0.3
1999,Canyon,4,175.0,121.0
1999,Caribou,4,281.8,270.0
1999,Cassia,43,10238.0,3709.1
1999,Clark,3,24.4,23.0
1999,Clearwater,58,26.21,5.0
1999,Custer,3,380.5,375.0
1999,Elmore,32,39818.6,35041.0
1999,Gem,4,240.1,123.0
1999,Gooding,11,1459.6000000000001,952.5
1999,Idaho,32,583.1,240.0
1999,Jefferson,4,661.1,380.0
1999,Jerome,24,3166.2,1684.8
1999,Kootenai,55,78.3,28.0
1999,Latah,22,86.7,51.0
1999,Lemhi,13,1955.5,1942.0
1999,Lewis,7,12.6,7.0
1999,Lincoln,30,6146.5,4897.3
1999,Madison,3,79.2,52.0
1999,Minidoka,8,10217.5,7186.8
1999,Nez Perce,12,2.8,1.0
1999,Oneida,6,1666.1,687.0
1999,Owyhee,49,52171.7,7502.0
1999,Payette,6,100.1,70.0
1999,Power,24,27279.0,23006.5
1999,Shoshone,27,19.3,5.0
1999,Twin Falls,26,3042.7999999999997,681.0
1999,Valley,27,10.75,4.0
1999,Washington,3,88.0,44.0
2000,003,1,2.0,2.0
2000,13,9,1.3,0.5
2000,15,5,25.6,25.0
2000,17,48,537.6,205.0
2000,19,29,177.5,133.0
2000,21,27,9.7,2.5
2000,25,3,63.2,33.0
2000,29,5,47.7,43.0
2000,31,16,11331.8,10944.0
2000,33,11,542.5,541.0
2000,35,51,4809.2,3258.0
2000,37,5,0.7,0.3
2000,39,2,0.30000000000000004,0.2
2000,41,5,1185.5,1163.0
2000,43,13,44.2,31.0
2000,45,1,0.1,0.1
2000,49,216,111787.1,64510.0
2000,5,10,3281.2,3070.0
2000,55,23,26.6,20.0
2000,57,5,1.0,0.3
2000,59,2,0.2,0.1
2000,65,1,1.0,1.0
2000,7,9,753.9,749.0
2000,71,2,701.0,691.0
2000,77,1,100.0,100.0
2000,79,70,144.6,52.0
2000,81,3,0.4,0.2
2000,83,1,3.0,3.0
2000,85,6,2.6,2.0
2000,Ada,22,5688.400000000001,2551.0
2000,Adams,11,273.7,271.0
2000,Bannock,43,3427.8999999999996,1241.0
2000,Bear Lake,4,429.0,321.0
2000,Benewah,15,4.7,3.0
2000,Bingham,25,83062.9,68952.0
2000,Blaine,15,629.9,261.4
2000,Boise,13,3.35,0.75
2000,Bonner,48,63.55,21.0
2000,Bonneville,13,3048.7999999999997,2463.0
2000,Boundary,28,29.05,10.0
2000,Butte,6,19012.100000000002,18140.0
